registration_area,registration_region,tot_number_new_cases,pop_number,prob,infections10,infections100,infections500,infections1000
Вінницька,Барський район,102,50000,0.00204,0,0,1,2
Вінницька,Бершадський район,180,56776,0.00317035367056503,0,0,2,3
Вінницька,Вінницький район,420,81278,0.0051674499864662,0,1,3,5
Вінницька,Вінниця,3087,370707,0.0083273312885918,0,1,4,8
Вінницька,Гайсинський район,165,55331,0.00298205346008567,0,0,1,3
Вінницька,Жмеринка,177,34353,0.00515238843769103,0,1,3,5
Вінницька,Жмеринський район,114,32552,0.00350208896534775,0,0,2,4
Вінницька,Іллінецький район,198,36249,0.00546221964743855,0,1,3,5
Вінницька,Калинівський район,264,56268,0.00469183194711026,0,0,2,5
Вінницька,Козятин,177,22951,0.0077120822622108,0,1,4,8
Вінницька,Козятинський район,165,37618,0.00438619809665586,0,0,2,4
Вінницька,Крижопільський район,18,32134,0.000560154353644115,0,0,0,1
Вінницька,Ладижин,18,22589,0.000796848023374209,0,0,0,1
Вінницька,Липовецький район,156,36123,0.00431857819118013,0,0,2,4
Вінницька,Літинський район,177,33691,0.00525362856549227,0,1,3,5
Вінницька,Могилів-Подільський,39,30389,0.00128335911020435,0,0,1,1
Вінницька,Могилів-Подільський район,12,31793,0.000377441575189507,0,0,0,0
Вінницька,Мурованокуриловецький район,15,23971,0.000625756121980727,0,0,0,1
Вінницька,Немирівський район,198,46906,0.0042212083741952,0,0,2,4
Вінницька,Оратівський район,21,19809,0.00106012418597607,0,0,1,1
Вінницька,Піщанський район,33,20021,0.00164826931721692,0,0,1,2
Вінницька,Погребищенський район,63,28321,0.00222449772253805,0,0,1,2
Вінницька,Теплицький район,177,26946,0.00656869294143843,0,1,3,7
Вінницька,Тиврівський район,444,40873,0.0108629168399677,0,1,5,11
Вінницька,Томашпільський район,177,31944,0.00554094665664914,0,1,3,6
Вінницька,Тростянецький район,18,34304,0.000524720149253731,0,0,0,1
Вінницька,Тульчинський район,117,53426,0.00218994497061356,0,0,1,2
Вінницька,Хмільник,96,27398,0.00350390539455435,0,0,2,4
Вінницька,Хмільницький район,81,34576,0.00234266543267006,0,0,1,2
Вінницька,Чернівецький район,9,20209,0.000445346132911079,0,0,0,0
Вінницька,Чечельницький район,21,20120,0.00104373757455268,0,0,1,1
Вінницька,Шаргородський район,123,55359,0.00222186094401994,0,0,1,2
Вінницька,Ямпільський район,54,38110,0.00141695093151404,0,0,1,1
Волинська,Благодатне,21,4666,0.00450064294899271,0,0,2,5
Волинська,Володимир-Волинський,651,38340,0.0169796557120501,0,2,8,17
Волинська,Володимир-Волинський район,153,24545,0.00623344876756977,0,1,3,6
Волинська,Горохівський район,333,50220,0.00663082437275986,0,1,3,7
Волинська,Іваничівський район,144,31231,0.00461080336844802,0,0,2,5
Волинська,Камінь-Каширський район,273,63919,0.00427103052300568,0,0,2,4
Волинська,Ківерцівський район,576,63576,0.00906002265005663,0,1,5,9
Волинська,Ковель,759,68240,0.0111225087924971,0,1,6,11
Волинська,Ковельський район,183,40395,0.0045302636464909,0,0,2,5
Волинська,Локачинський район,153,21586,0.00708792736032614,0,1,4,7
Волинська,Луцьк,63,217315,0.000289901755516186,0,0,0,0
Волинська,Луцький район,216,66875,0.00322990654205607,0,0,2,3
Волинська,Любешівський район,246,35134,0.00700176467239711,0,1,4,7
Волинська,Любомльський район,189,38578,0.00489916532738867,0,0,2,5
Волинська,Маневицький район,384,53481,0.00718012004263196,0,1,4,7
Волинська,Нововолинськ,471,51010,0.00923348363066065,0,1,5,9
Волинська,Ратнівський район,198,51817,0.00382113978038096,0,0,2,4
Волинська,Рожищенський район,249,38359,0.00649130582131964,0,1,3,6
Волинська,Старовижівський район,99,29660,0.0033378287255563,0,0,2,3
Волинська,Турійський район,276,25889,0.0106608984510796,0,1,5,11
Волинська,Шацький район,66,16585,0.00397949954778414,0,0,2,4
Дніпропетровська,Апостолівський район,39,52509,0.000742729817745529,0,0,0,1
Дніпропетровська,Васильківський район,9,31093,0.000289454217991188,0,0,0,0
