"","registration_area","registration_region","tot_number_new_cases","pop_number","prob","infections10","infections100","infections500","infections1000","join"
"1","Автономна Республіка Крим","Бахчисарайський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримБахчисарайський район"
"2","Автономна Республіка Крим","Білогірський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримБілогірський район"
"3","Автономна Республіка Крим","Джанкойський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримДжанкойський район"
"4","Автономна Республіка Крим","Кіровський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримКіровський район"
"5","Автономна Республіка Крим","Красногвардійський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримКрасногвардійський район"
"6","Автономна Республіка Крим","Красноперекопський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримКрасноперекопський район"
"7","Автономна Республіка Крим","Ленінський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримЛенінський район"
"8","Автономна Республіка Крим","Нижньогірський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримНижньогірський район"
"9","Автономна Республіка Крим","Первомайський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримПервомайський район"
"10","Автономна Республіка Крим","Роздольненський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримРоздольненський район"
"11","Автономна Республіка Крим","Сакський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримСакський район"
"12","Автономна Республіка Крим","Сімферопольський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримСімферопольський район"
"13","Автономна Республіка Крим","Совєтський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримСовєтський район"
"14","Автономна Республіка Крим","Чорноморський район",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримЧорноморський район"
"15","Автономна Республіка Крим","Ялтинська",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримЯлтинська"
"16","Автономна Республіка Крим","Судацька",NA,NA,NA,-1,-1,-1,-1,"Автономна Республіка КримСудацька"
