registration_area,registration_region,tot_number_new_cases,pop_number,prob,infections10,infections100,infections500,infections1000
Вінницька,Барський район,141,50000,0.00282,0,0,1,3
Вінницька,Бершадський район,279,56776,0.00491404818937579,0,0,2,5
Вінницька,Вінницький район,396,81278,0.00487216713009671,0,0,2,5
Вінницька,Вінниця,3849,370707,0.0103828630158049,0,1,5,10
Вінницька,Гайсинський район,225,55331,0.00406643653648045,0,0,2,4
Вінницька,Жмеринка,237,34353,0.0068989607894507,0,1,3,7
Вінницька,Жмеринський район,156,32552,0.00479233226837061,0,0,2,5
Вінницька,Залізничне,3,975,0.00307692307692308,0,0,2,3
Вінницька,Іллінецький район,330,36249,0.00910369941239758,0,1,5,9
Вінницька,Калинівський район,381,56268,0.00677116656003412,0,1,3,7
Вінницька,Козятин,327,22951,0.0142477451962877,0,1,7,14
Вінницька,Козятинський район,291,37618,0.00773565846137487,0,1,4,8
Вінницька,Крижопільський район,54,32134,0.00168046306093235,0,0,1,2
Вінницька,Ладижин,51,22589,0.00225773606622692,0,0,1,2
Вінницька,Липовецький район,216,36123,0.00597956980317249,0,1,3,6
Вінницька,Літинський район,264,33691,0.00783592057225965,0,1,4,8
Вінницька,Могилів-Подільський,78,30389,0.0025667182204087,0,0,1,3
Вінницька,Могилів-Подільський район,51,31793,0.00160412669455541,0,0,1,2
Вінницька,Мурованокуриловецький район,21,23971,0.000876058570773017,0,0,0,1
Вінницька,Немирівський район,276,46906,0.00588410864281755,0,1,3,6
Вінницька,Оратівський район,42,19809,0.00212024837195214,0,0,1,2
Вінницька,Піщанський район,33,20021,0.00164826931721692,0,0,1,2
Вінницька,Погребищенський район,93,28321,0.00328378235231807,0,0,2,3
Вінницька,Теплицький район,234,26946,0.00868403473613895,0,1,4,9
Вінницька,Тиврівський район,579,40873,0.0141658307440119,0,1,7,14
Вінницька,Томашпільський район,255,31944,0.00798271975957926,0,1,4,8
Вінницька,Тростянецький район,54,34304,0.00157416044776119,0,0,1,2
Вінницька,Тульчинський район,132,53426,0.00247070714633325,0,0,1,2
Вінницька,Хмільник,117,27398,0.00427038469961311,0,0,2,4
Вінницька,Хмільницький район,120,34576,0.0034706154558075,0,0,2,3
Вінницька,Чернівецький район,12,20209,0.000593794843881439,0,0,0,1
Вінницька,Чечельницький район,33,20120,0.00164015904572565,0,0,1,2
Вінницька,Шаргородський район,213,55359,0.00384761285427844,0,0,2,4
Вінницька,Ямпільський район,84,38110,0.00220414589346628,0,0,1,2
Волинська,Благодатне,36,4666,0.00771538791255894,0,1,4,8
Волинська,Володимир-Волинський,786,38340,0.0205007824726135,0,2,10,21
Волинська,Володимир-Волинський район,270,24545,0.0110002037074761,0,1,6,11
Волинська,Горохівський район,552,50220,0.0109916367980884,0,1,5,11
Волинська,Іваничівський район,105,31231,0.00336204412282668,0,0,2,3
Волинська,Камінь-Каширський район,333,63919,0.00520971855003989,0,1,3,5
Волинська,Ківерцівський район,705,63576,0.0110890902227256,0,1,6,11
Волинська,Ковель,759,68240,0.0111225087924971,0,1,6,11
